CRITICAL | admin/reset-password | POST | auth=NONE_FOUND | db=SERVICE_ROLE | no_RL
ok | admin/time-report | GET | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/trades | GET,PATCH | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/visit-assignments | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/visit-assignments/[id] | PATCH,DELETE | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | alerts | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | analytics | GET | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | audit | GET | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | audit/email | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | audit/report | GET | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | audit/share | GET,POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | audit/share/[id] | DELETE | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | audit/v2 | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | audit/v2/action | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | billing/ai-audit | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | billing/cancel | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | billing/checkout | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | billing/portal | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | billing/status | GET | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | billing/upgrade | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | billing/webhook | POST | auth=STRIPE_WEBHOOK | db=SERVICE_ROLE | no_RL
ok | checklist | GET,POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | cleanup | GET | auth=CRON_SECRET | db=SERVICE_ROLE | no_RL
ok | client/invite | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | cron/auto-signout | GET | auth=CRON_SECRET | db=SERVICE_ROLE | no_RL
ok | cron/trial-conversion | GET | auth=CRON_SECRET | db=SERVICE_ROLE | no_RL
ok | defects | GET,POST | auth=INSTALLER_JWT | db=SERVICE_ROLE | no_RL
ok | diary | GET,POST | auth=INSTALLER_JWT | db=SERVICE_ROLE | no_RL
ok | diary/reply | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | expenses | GET,POST | auth=INSTALLER_JWT | db=SERVICE_ROLE | no_RL
ok | expenses/scan-receipt | POST | auth=INSTALLER_JWT | db=NONE | no_RL
ok | installer/acknowledge | POST | auth=INSTALLER_JWT | db=SERVICE_ROLE | no_RL
ok | installer/active-shift | GET | auth=INSTALLER_JWT | db=SERVICE_ROLE | no_RL
ok | installer/calendar-context | GET | auth=INSTALLER_JWT | db=SERVICE_ROLE | no_RL
ok | installer/checklists/library | GET | auth=INSTALLER_JWT | db=SERVICE_ROLE | no_RL
ok | installer/geofence-exit | POST | auth=INSTALLER_JWT | db=SERVICE_ROLE | no_RL
ok | installer/gps-permission | POST | auth=INSTALLER_JWT | db=SERVICE_ROLE | no_RL
ok | installer/jobs | GET | auth=INSTALLER_JWT | db=SERVICE_ROLE | no_RL
ok | installer/my-data | GET | auth=INSTALLER_JWT | db=SERVICE_ROLE | no_RL
ok | installer/my-hours | GET | auth=INSTALLER_JWT | db=SERVICE_ROLE | no_RL
ok | installer/time-off | GET,POST | auth=INSTALLER_JWT | db=SERVICE_ROLE | no_RL
ok | installer/time-off/balance | GET | auth=INSTALLER_JWT | db=SERVICE_ROLE | no_RL
ok | invite | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | jobs/delete | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | location | POST | auth=INSTALLER_JWT | db=SERVICE_ROLE | no_RL
ok | media | GET | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | notifications/cron | GET | auth=CRON_SECRET | db=SERVICE_ROLE | no_RL
ok | notifications/cron-debug | GET | auth=CRON_SECRET | db=SERVICE_ROLE | no_RL
ok | notifications/register | POST | auth=INSTALLER_JWT | db=SERVICE_ROLE | no_RL
ok | onboarding | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | payroll | GET | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | payroll/edit | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | payroll/export | GET,POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | qa | GET,POST | auth=INSTALLER_JWT | db=SERVICE_ROLE | no_RL
ok | qa/approvals | GET,POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | qa/submit | POST | auth=INSTALLER_JWT | db=SERVICE_ROLE | no_RL
ok | signin | POST | auth=INSTALLER_JWT | db=SERVICE_ROLE | no_RL
ok | signout | POST | auth=INSTALLER_JWT | db=SERVICE_ROLE | no_RL
ok | stream | GET,POST | auth=INSTALLER_JWT | db=NONE | no_RL
ok | stream/upload-url | POST | auth=INSTALLER_JWT | db=NONE | no_RL
ok | team/remove | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | team/transfer-superadmin | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | upload | POST | auth=INSTALLER_JWT | db=NONE | no_RL
ok | walkthroughs | GET | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | walkthroughs/[id]/approve | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | walkthroughs/[id]/reject | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | walkthroughs/retry-stuck | GET | auth=CRON_SECRET | db=SERVICE_ROLE | no_RL
ok | walkthroughs/upload-clip | POST | auth=INSTALLER_JWT | db=SERVICE_ROLE | no_RL
PUBLIC? | audit/iteration-narrative | POST | auth=NONE_FOUND | db=NONE | no_RL
